#Example csv file
# Begin: Backend
# Begin: Admin Menu and Titles
customers_details_table_serie;ID number
customers_details_table_email;Email
customers_details_table_member_since;Member since

customers_details_table_title_company_information;Company information
customers_details_table_company;Company
customers_details_table_fiscal_code;Fiscal code
customers_details_table_trade_register;Trade register
customers_details_table_bank;Bank
customers_details_table_iban_code;IBAN Code
customers_details_table_function;Function
customers_details_table_department;Department

customers_details_table_title_contact_information;Contact information
customers_details_table_address;Address
customers_details_table_address_2;Address 2
customers_details_table_country;Country
customers_details_table_county;County
customers_details_table_city;City
customers_details_table_zip;Zip
customers_details_table_phone;Phone
customers_details_table_phone_2;Phone 2
customers_details_table_fax;Fax

customers_details_table_title_shipping_information;Shipping information

customers_create_table_individual;Individual
customers_create_table_legal_person;Legal person
# End: Details
# Begin: Create / Edit
customers_create_title_customer;Customer information
customers_create_title_basic;Basic information
customers_create_title_company;Company information
customers_create_title_contact;Contact information
customers_create_title_shipping;Shipping information

customers_create_required;Fields marked with <img src="/images/required.gif" width="10" height="8" border="0" align="absmiddle" alt="" /> are required.

customers_create_table_username;Username
customers_create_table_password;Password
customers_create_table_password_confirmation;Password confirmation
customers_create_table_email;Email
customers_create_table_email_confirmation;Email confirmation
customers_create_table_status;Status

customers_create_table_salutation;Salutation
customers_create_table_first_name;First name
customers_create_table_last_name;Last name
customers_create_table_cnp;Personal code
customers_create_table_serie;ID number

customers_create_table_company;Company
customers_create_table_fiscal_code;Fiscal code
customers_create_table_trade_register;Trade register
customers_create_table_bank;Bank
customers_create_table_iban_code;IBAN Code
customers_create_table_function;Function
customers_create_table_department;Department

customers_create_table_address;Address
customers_create_table_address_2;Address 2
customers_create_table_country;Country
customers_create_table_county;County
customers_create_table_city;City
customers_create_table_zip;Zip
customers_create_table_phone;Phone
customers_create_table_phone_2;Phone 2
customers_create_table_fax;Fax

customers_create_table_active;Active
customers_create_table_inactive;Inactive

customers_create_table_individual;Individual
customers_create_table_legal_person;Legal person

customers_create_table_username_description;Note: Only alphabetic and digit characters allowed!
customers_create_table_password_description;Note: Password needs to be between 6 and 20 characters long
customers_create_table_status_description;Note: Only active customers can authenticate !
customers_create_table_phone_description;(Include '+' and country code. Example: +1-xxx-xxx-xxxx)
customers_create_table_phone_2_description;(Include '+' and country code. Example: +1-xxx-xxx-xxxx)
customers_create_table_fax_description;(Include '+' and country code. Example: +1-xxx-xxx-xxxx)

customers_create_table_button_create;Create
customers_edit_table_button_modify;Modify
# End: Create / Edit
# Begin: Search account
customers_search_table_search_client;Search client
customers_search_table_button_view;View
# End: Search account
# End: Customers Controller

# Begin: Products Controller
products_all_products_error;Invalid selection!

products_add_products_error_sku;A product with this SKU already exist in DataBase! SKU must be unique!
products_add_products_success;Product was successfully created!
products_add_products_error;Error creating product!

products_edit_products_error_sku;A product with this SKU already exist in DataBase! SKU must be unique!
products_edit_products_success_delete_specifications;Specifications have been successfully deleted!
products_edit_products_error_delete_specifications;Error deleting specifications!
products_edit_products_success;Product was successfully modified!
products_edit_products_error_1;Error modify product!
products_edit_products_error_2;Invalid product selected!

products_delete_product_success_delete_specifications;Product specifications have been successfully deleted!
products_delete_product_error_delete_specifications;Error deleting specifications!
products_delete_product_success;Product was successfully deleted!
products_delete_product_error;Error deleting product!

products_final_delete_product_success;Product was successfully deleted!
products_final_delete_product_error;Error deleting product!

products_undo_delete_product_success;Product was successfully saved!
products_undo_delete_product_error;Error saving product!

products_visible_success;Status was successfully changed!
products_visible_error;Error change status!

products_add_categories_success;Category was successfully created!
products_add_categories_error;Error creating category!

products_edit_categories_success;Category was successfully modified!
products_edit_categories_error_1;Error modify category!
products_edit_categories_error_2;Invalid category selected!

products_delete_categories_success;Category was successfully deleted!
products_delete_categories_error;Error deleting category!
products_delete_categories_specification_group_success;Specifications group was successfully deleted!
products_delete_categories_specification_group_error;Error deleting group specifications!
products_delete_categories_specification_model_success;Specifications model was successfully deleted!
products_delete_categories_specification_model_error;Error deleting model specifications!

products_add_subcategories_success;Subcategory was successfully created!
products_add_subcategories_error;Error creating subcategory!

products_edit_subcategories_success;Subcategory was successfully modified!
products_edit_subcategories_error_1;Error modifying subcategory!
products_edit_subcategories_error_2;Invalid subcategory selected!

products_delete_subcategories_success;Subcategory was successfully deleted!
products_delete_subcategories_error;Error deleting subcategory!
products_delete_subcategories_specification_group_success;Specifications group was successfully deleted!
products_delete_subcategories_specification_group_error;Error deleting group specifications!
products_delete_subcategories_specification_model_success;;Specifications model was successfully deleted!
products_delete_subcategories_specification_model_error;Error deleting model specifications!

products_add_brand_success;Brand was successfully created!
products_add_brand_error;Error creating brand!

products_edit_brand_success;Brand was successfully modified!
products_edit_brand_error_1;Error modifying brand!
products_edit_brand_error_2;Invalid brand selected!

products_delete_brand_success;Brand was successfully deleted!
products_delete_brand_error;Error deleting brand!

products_add_product_image_success;Image was uploaded!
products_add_product_image_error;Error uploading image!

products_delete_product_image_success;Image was successfully deleted!
products_delete_product_image_error;Error deleting image!

products_add_categories_specification_group_success;Specifications group successfully created!
products_add_categories_specification_group_error;Error creating specifications group!
products_add_categories_specification_model_success;Specifications model successfully created!
products_add_categories_specification_model_error;Error creating specifications model!

products_save_categories_product_specifications_success;Specifications was successfully added!
