#Example csv file
# Begin: Backend
# Begin: Admin Menu and Titles
customers_create_title_shipping;Date de livrare

customers_create_required;Câmpurile marcate cu <img src="/images/required.gif" width="10" height="8" border="0" align="absmiddle" alt="" /> sunt obligatorii.

customers_create_table_username;Nume de utilizator
customers_create_table_password;Parolă
customers_create_table_password_confirmation;Confirmare parolă
customers_create_table_email;Email
customers_create_table_email_confirmation;Confirmare email
customers_create_table_status;Status

customers_create_table_salutation;Forma de adresare
customers_create_table_first_name;Nume
customers_create_table_last_name;Prenume
customers_create_table_cnp;CNP
customers_create_table_serie;Serie buletin

customers_create_table_company;Companie
customers_create_table_fiscal_code;Cod fiscal
customers_create_table_trade_register;Registrul comerţului
customers_create_table_bank;Banca
customers_create_table_iban_code;Cod IBAN
customers_create_table_function;Funcţia
customers_create_table_department;Departamentul

customers_create_table_address;Adresa
customers_create_table_address_2;Adresa 2
customers_create_table_country;Tara
customers_create_table_county;Judeţ
customers_create_table_city;Oraş
customers_create_table_zip;Cod poştal
customers_create_table_phone;Telefon
customers_create_table_phone_2;Telefon 2
customers_create_table_fax;Fax

customers_create_table_active;Activ
customers_create_table_inactive;Inactiv

customers_create_table_individual;Persoană Fizică
customers_create_table_legal_person;Persoană Juridică

customers_create_table_username_description;Notă: doar caractere alfabetice şi cifre sunt permise!
customers_create_table_password_description;Notă: Parola trebuie să fie între 6 şi 20 de caractere
customers_create_table_status_description;Nota: Numai clienţii activi pot să se autentifice!
customers_create_table_phone_description;(Includeţi "+" şi codul de ţară. Exemplu: xxx + 1-xxx-xxxx)
customers_create_table_phone_2_description;(Includeţi "+" şi codul de ţară. Exemplu: xxx + 1-xxx-xxxx)
customers_create_table_fax_description;(Includeţi "+" şi codul de ţară. Exemplu: xxx + 1-xxx-xxxx)

customers_create_table_button_create;Crează
customers_edit_table_button_modify;Modifică
# End: Create / Edit
# Begin: Search account
customers_search_table_search_client;Căutare client
customers_search_table_button_view;Vizualizează
# End: Search account
# End: Customers Controller

# Begin: Products Controller
products_all_products_error;Selecţie invalidă!

products_add_products_error_sku;Un produs cu acest SKU există deja în baza de date! SKU trebuie să fie unic!
products_add_products_success;Produsul a fost creat cu succes!
products_add_products_error;Eroare la crearea produsului!

products_edit_products_error_sku;Un produs cu acest SKU există deja în baza de date! SKU trebuie să fie unic!
products_edit_products_success_delete_specifications;Specificaţiile au fost şterse cu succes!
products_edit_products_error_delete_specifications;Eroare la ştergerea specificaţiilor!
products_edit_products_success;Produsul a fost modificat cu succes!
products_edit_products_error_1;Eroare la modificarea produsului!
products_edit_products_error_2;Produs selectat incorect!

products_delete_product_success_delete_specifications;Specificaţiile produsului au fost şterse cu succes!
products_delete_product_error_delete_specifications;Eroare la ştergerea specificaţiilor!
products_delete_product_success;Produsul a fost şters cu succes!
products_delete_product_error;Eroare la ştergerea produsului

products_final_delete_product_success;Produsul a fost şters cu succes!
products_final_delete_product_error;Eroare la ştergerea produsului!

products_undo_delete_product_success;Produsul a fost salvat cu succes!
products_undo_delete_product_error;Eroare la salvarea produsului!

products_visible_success;Statusul a fost schimbat cu succes!
products_visible_error;Eroare la schimbarea statusului!

products_add_categories_success;Categoria a fost creată cu succes!
products_add_categories_error;Eroare la crearea de categorie!

products_edit_categories_success;Categoria a fost modificată cu succes!
products_edit_categories_error_1;Eroare la modificarea categoriei!
products_edit_categories_error_2;Categorie selectată incorect!

products_delete_categories_success;Categoria a fost ştearsă cu succes!
products_delete_categories_error;Eroare la ştergerea categoriei!
products_delete_categories_specification_group_success;Grupul de specificaţii a fost şters cu succes!
products_delete_categories_specification_group_error;Eroare la ştergerea grupului de specificaţii!
products_delete_categories_specification_model_success;Modelul de specificaţii a fost şters cu succes!
products_delete_categories_specification_model_error;Eroare la ştergerea modelului de specificaţii!

products_add_subcategories_success;Subcategoria a fost creata cu succes!
products_add_subcategories_error;Eroare la crearea de subcategorie!

products_edit_subcategories_success;Subcategoria a fost modificată cu succes!
products_edit_subcategories_error_1;Eroare la modificarea subcategoriei!
products_edit_subcategories_error_2;Subcategorie selectată incorect

products_delete_subcategories_success;Subcategoria a fost ştearsă cu succes!
products_delete_subcategories_error;Eroare la ştergerea subcategoriei!
products_delete_subcategories_specification_group_success;Grupul de specificaţii a fost şters cu succes!
products_delete_subcategories_specification_group_error;Eroare la ştergerea grupului de specificaţii!
products_delete_subcategories_specification_model_success;Modelul de specificaţii a fost şters cu succes!
products_delete_subcategories_specification_model_error;Eroare la ştergerea modelului de specificaţii!

products_add_brand_success;Brandul a fost creat cu succes!
products_add_brand_error;Eroare la crearea de brand!

products_edit_brand_success;Brandul a fost modificat cu succes!
products_edit_brand_error_1;Eroare la modificarea brandului!
products_edit_brand_error_2;Brand selectat incorect!

products_delete_brand_success;Brandul a fost şters cu succes!
products_delete_brand_error;Eroare la ştergerea brandului!

products_add_product_image_success;Imaginea a fost încărcată!
products_add_product_image_error;Eroare la încărcarea imaginii!

products_delete_product_image_success;Imaginea a fost ştearsă cu succes!
products_delete_product_image_error;Eroare la ştergerea imaginii!

products_add_categories_specification_group_success;Grupul de specificaţii a fost creat cu succes!
products_add_categories_specification_group_error;Eroare la crearea grupului de specificaţii!
products_add_categories_specification_model_success;Modelul de specificaţii a fost creat cu succes!
products_add_categories_specification_model_error;Eroare la crearea modelului de specificaţii!

